msg_cat_per, input
msg_cat_ent, input
msg_cat_new, input
msg_cat_edu, input
msg_cat_con, input
msg_rel, input
msg_qua, input
msg_sen, input
msg_sal, input
msg_med, input
msg_com, input
msg_que, input
nf_ko, attribute
nf_ent, attribute
nf_is, attribute
nf_si, attribute
nf_se, attribute
pt_cons, attribute
pt_agre, attribute
pt_extra, attribute
pt_neur, attribute
ss_cat, id
ss_rel, id
ss_qua, id
ss_sen, id
ss_sal, id
ss_med, id
ss_com, id
ss_que, id
srs_cat, id
srs_rel, id
srs_qua, id
srs_sen, id
srs_sal, alogistic
srs_media, id
srs_com, id
srs_que, id
cat_per, id
cat_ent, id
cat_new, id
cat_edu, id
cat_con, id
arousel, alogistic
attention_1, alogistic
attention_2, alogistic
mood, alogistic
ff_ko, alogistic 
ff_ent, alogistic
ff_si, alogistic
ff_is, alogistic
ff_se, alogistic
satisfaction, alogistic
dissatisfaction, alogistic
prep_like, alogistic
prep_comment, alogistic
prep_share, alogistic
like, id
comment, id
share, id
